"","A_09_195_S6_R1_001","A_10_313_S9_R1_001","A_11_062_S8_R1_001","A_12_011_S10_R1_001","A_13_027_S12_R1_001","A_13_086_S11_R1_001","A_14_022_S5_R1_001","A_14_076_S7_R1_001"
"tRF-16-026ZEDD",4,0,1,4,6,1,11,2
"tRF-16-078SUXD",0,0,0,3,0,0,1,0
"tRF-16-07QSNHD",9,10,3,4,21,11,6,5
"tRF-16-085830E",0,0,4,5,2,3,3,0
"tRF-16-08F4BDD",0,35,30,15,51,32,70,0
"tRF-16-08P2B5D",1,1,1,1,2,4,1,6
"tRF-16-08P2F5D",12,10,14,14,24,37,19,31
"tRF-16-08Q2B5D",1060,723,2212,688,1856,3352,925,2736
"tRF-16-08R959D",0,0,0,0,1,0,0,0
"tRF-16-08R9D9D",1,0,0,0,0,0,0,0
"tRF-16-0HLBRRE",0,1,0,0,0,0,0,0
"tRF-16-0JVRI8E",0,0,0,1,0,0,0,0
"tRF-16-0K9RQ40",0,0,0,0,1,0,0,0
"tRF-16-0P5830E",271,405,707,903,315,476,598,507
"tRF-16-0PRMQ0E",2,1,0,2,1,2,16,0
"tRF-16-0RSSX7D",4,4,2,2,3,0,4,5
"tRF-16-0RYNURD",3,4,7,3,2,3,15,8
"tRF-16-0UFMQKE",1,0,0,0,0,0,0,0
"tRF-16-0UQ2B5D",1,3,0,1,3,3,0,4
"tRF-16-0VL8K80",2,2,0,2,2,2,5,2
"tRF-16-113KYUE",0,0,0,0,2,0,0,0
"tRF-16-11M3WEE",0,0,0,0,2,0,0,0
"tRF-16-1293WEE",3,0,3,4,0,1,10,2
"tRF-16-12Z4R90",207,170,45,394,65,35,130,30
"tRF-16-13QXQWE",1,0,0,1,0,0,0,0
"tRF-16-148V7KE",0,0,1,0,1,0,2,0
"tRF-16-14PSR90",5,5,0,0,1,3,9,1
"tRF-16-16MSRMB",1,0,1,3,0,0,1,2
"tRF-16-17M4O1E",1,4,2,1,3,4,0,6
"tRF-16-17NSRJ0",0,0,0,2,2,1,1,1
"tRF-16-188MEND",0,0,1,0,0,0,0,0
"tRF-16-18V0LQ0",0,0,1,0,0,0,1,0
"tRF-16-18VUY90",0,0,0,0,0,0,1,0
"tRF-16-18WO6VD",0,0,1,0,0,1,0,0
"tRF-16-199M88B",3,0,2,0,0,1,1,0
"tRF-16-1EW3Q7D",0,0,0,0,0,5,0,1
"tRF-16-1EW3QZD",0,0,0,0,1,0,0,0
"tRF-16-1EWJQ7D",19,27,6,30,26,36,26,25
"tRF-16-1FNJ47B",1,0,0,0,0,0,0,0
"tRF-16-1HI242B",0,0,0,1,0,0,0,0
"tRF-16-1IQ4YUB",0,2,0,0,0,0,0,0
"tRF-16-1KWH190",0,2,0,0,0,0,3,0
"tRF-16-1KWH19B",9,15,4,21,5,5,24,6
"tRF-16-1M58HUB",0,1,0,0,0,0,0,0
"tRF-16-1MK8YUB",0,2,0,0,0,0,0,2
"tRF-16-1MN0YUB",1,0,0,1,1,0,0,0
"tRF-16-1MNKYU0",0,0,1,0,0,0,0,0
"tRF-16-1MP34RD",0,0,1,2,0,0,0,0
"tRF-16-1MQKYUE",1,0,0,2,0,1,0,0
"tRF-16-1N3KYU0",1,0,0,0,0,0,0,0
"tRF-16-1N70YUE",0,0,2,1,0,0,0,0
"tRF-16-1N7KYUB",0,4,0,0,0,0,0,1
"tRF-16-1NLD3VE",0,0,0,0,0,0,1,0
"tRF-16-1O7VD5E",0,1,0,0,0,0,0,0
"tRF-16-1PFQJDE",0,0,0,1,0,0,0,0
"tRF-16-1PW4PU0",0,0,0,0,0,2,0,1
"tRF-16-1QKS3WD",2,0,0,3,1,2,1,0
"tRF-16-1RMF5E0",2,1,0,0,0,2,0,0
"tRF-16-1RXSMM0",2,1,0,1,0,0,0,0
"tRF-16-1S72P40",0,0,0,0,0,0,1,0
"tRF-16-1S91540",1,1,3,0,0,3,0,0
"tRF-16-1SS2P40",149,244,23,45,153,138,226,50
"tRF-16-1SS2PLB",0,0,0,0,0,0,1,0
"tRF-16-1SS2PMB",28,16,31,19,18,22,95,39
"tRF-16-1WF8YMB",0,1,0,0,0,0,0,0
"tRF-16-1Y0SR90",9,3,15,8,36,64,6,37
"tRF-16-1YS2P40",2,0,0,0,0,0,1,0
"tRF-16-207RRND",1,3,0,3,4,0,2,0
"tRF-16-207WRND",2,5,0,0,0,0,1,0
"tRF-16-2459HMD",0,0,0,0,0,0,1,0
"tRF-16-245J7KE",9,5,1,3,5,5,7,6
"tRF-16-25QB1MD",0,0,0,0,0,0,1,0
"tRF-16-2E2WMKE",0,0,1,0,0,0,0,0
"tRF-16-2E4892D",0,0,0,1,0,0,0,0
"tRF-16-2E489BD",0,0,0,0,0,1,0,0
"tRF-16-2ERPFVE",0,1,0,0,0,0,0,0
"tRF-16-2F5JYHB",0,0,0,1,0,0,0,0
"tRF-16-2J1Y0S0",1,1,3,0,6,11,0,6
"tRF-16-2KWHR90",5,8,4,3,2,3,4,1
"tRF-16-2MK827D",0,1,0,1,0,0,1,0
"tRF-16-2QW18FD",0,0,0,0,1,0,0,0
"tRF-16-2R1HPS0",0,0,0,1,0,0,1,0
"tRF-16-2VO0SRD",1,1,0,0,0,1,0,1
"tRF-16-2VO0SRE",0,0,1,0,0,0,1,1
"tRF-16-2VR0080",0,0,0,0,0,2,0,0
"tRF-16-2VR0E80",0,1,1,0,1,1,0,0
"tRF-16-2VR0PS0",1,0,1,4,0,7,4,4
"tRF-16-2WW18FD",1,0,0,0,0,0,0,0
"tRF-16-2WW1UFD",0,0,0,0,1,0,0,0
"tRF-16-30MB01B",0,0,1,1,0,0,1,1
"tRF-16-3196L80",0,0,0,0,0,1,0,0
"tRF-16-325UB1E",9,3,10,32,13,3,46,0
"tRF-16-32VIJM0",29,38,2,12,3,2,40,1
"tRF-16-33DR5ND",0,1,0,0,0,0,0,0
"tRF-16-33DSJOB",1,0,0,0,0,0,0,0
"tRF-16-34L2H1B",9,10,9,9,7,2,10,4
"tRF-16-3B1NR8E",1,0,0,0,0,0,0,0
"tRF-16-3B5SM3E",0,0,0,5,0,1,4,0
"tRF-16-3H91U40",0,0,0,0,0,0,1,0
"tRF-16-3H93WBD",0,1,0,3,1,0,0,2
"tRF-16-3JVIJM0",1,1,0,1,0,1,1,2
"tRF-16-3JW261B",6,39,1,1,2,14,3,3
"tRF-16-3JWB61B",45,149,23,84,27,23,96,11
"tRF-16-3K7SIRD",0,0,1,1,0,0,0,0
"tRF-16-3KJB01B",0,0,0,0,2,3,0,1
"tRF-16-3KJBP1B",3,9,5,3,9,9,18,7
"tRF-16-3KMB01B",126,268,180,101,162,505,314,346
"tRF-16-3KXR3RB",10,53,30,21,11,128,26,56
"tRF-16-3L7L73D",2,1,0,0,2,0,0,0
"tRF-16-3L90Q40",0,1,0,0,0,0,0,0
"tRF-16-3QHMY1B",1,3,2,1,1,1,5,0
"tRF-16-3U7SB7D",0,0,0,0,0,4,0,0
"tRF-16-3VL8W1B",2,5,0,2,0,1,0,0
"tRF-16-3VLIE1B",17,75,6,5,16,13,20,10
"tRF-16-3VMKNRB",33,64,15,149,8,1,70,0
"tRF-16-3VWIQ1B",0,12,3,1,2,4,1,1
"tRF-16-3WMIE1B",0,7,7,3,2,5,4,14
"tRF-16-409Z7KE",1,0,0,0,0,0,3,0
"tRF-16-40KK5YE",37,42,12,24,11,3,34,6
"tRF-16-40QI6NE",0,0,0,0,0,1,0,0
"tRF-16-40QIQND",1,0,0,0,2,4,0,0
"tRF-16-4892KRB",0,1,0,0,0,0,0,0
"tRF-16-489B3RB",35,187,44,65,48,116,60,38
"tRF-16-489L3RB",1,0,0,0,0,0,0,0
"tRF-16-4DYJIOD",1,0,0,0,0,0,0,0
"tRF-16-4E6L1FE",5,0,2,0,1,8,2,2
"tRF-16-4E6L1HE",0,1,0,0,0,0,0,0
"tRF-16-4P64R90",0,6,3,1,1,0,7,1
"tRF-16-4P9L5FD",1,2,0,0,0,0,0,0
"tRF-16-4PU3XOE",0,0,0,0,0,0,0,1
"tRF-16-4PWJV0D",0,1,0,0,0,0,0,0
"tRF-16-4RRQRBD",1,2,0,0,0,0,0,0
"tRF-16-4RRWRBD",8,12,2,2,8,5,18,3
"tRF-16-4S14IZD",0,1,1,1,3,1,2,1
"tRF-16-4S581HE",0,1,0,0,0,0,1,0
"tRF-16-4S9H240",1,0,0,0,0,0,0,0
"tRF-16-4Y9H2M0",1,0,0,0,0,0,0,0
"tRF-16-4ZFVF80",0,2,0,0,0,0,0,0
"tRF-16-4ZMKQ40",3,3,6,1,6,0,8,6
"tRF-16-4ZUPX1B",2,2,1,5,3,0,3,0
"tRF-16-50SJRED",7,15,5,5,6,0,13,4
"tRF-16-50SRRND",26,9,5,23,5,1,50,4
"tRF-16-51K36DD",0,0,0,0,0,1,0,0
"tRF-16-51MLHVB",0,0,0,0,0,0,4,0
"tRF-16-54QFQ2B",0,0,0,0,0,0,1,0
"tRF-16-54RNZF0",1,0,1,0,0,0,0,0
"tRF-16-593J2HD",1,0,0,0,0,0,0,1
"tRF-16-593KMHD",1,0,0,0,1,4,0,2
"tRF-16-593UMKB",0,0,0,0,0,1,0,0
"tRF-16-596VW6D",1,0,0,0,2,1,5,1
"tRF-16-596VZ6D",0,0,0,1,0,0,0,0
"tRF-16-59MEJB0",0,0,0,1,0,0,0,0
"tRF-16-59MIL00",1,0,0,0,0,0,0,0
"tRF-16-59V3WDE",0,1,0,0,0,2,0,0
