Run,depolarised,source_name,group,LibrarySelection,molecule_subtype,Assay Type,BioProject,Bases,BioSample,Bytes,Experiment,GEO_Accession (exp),Sample Name
SRR12391502,No,resting,Resting,cDNA,Poly(A) mRNA,RNA-Seq,PRJNA655417,4610303591,SAMN15734831,2098336974,SRX8889937,GSM4711285,GSM4711285
SRR12391503,No,resting,Resting,other,ribosome-protected mRNA,OTHER,PRJNA655417,1553799100,SAMN15734830,543490025,SRX8889938,GSM4711286,GSM4711286
SRR12391504,No,resting,Resting,size fractionation,small RNA,miRNA-Seq,PRJNA655417,5244194940,SAMN15734829,1947815357,SRX8889939,GSM4711287,GSM4711287
SRR12391505,No,resting,Resting,cDNA,Poly(A) mRNA,RNA-Seq,PRJNA655417,5262810014,SAMN15734828,2400649845,SRX8889940,GSM4711288,GSM4711288
SRR12391506,No,resting,Resting,other,ribosome-protected mRNA,OTHER,PRJNA655417,4995655712,SAMN15734827,1723693708,SRX8889941,GSM4711289,GSM4711289
SRR12391507,No,resting,Resting,size fractionation,small RNA,miRNA-Seq,PRJNA655417,513502360,SAMN15734826,192768878,SRX8889942,GSM4711290,GSM4711290
SRR12391508,No,resting,Resting,cDNA,Poly(A) mRNA,RNA-Seq,PRJNA655417,4704134404,SAMN15734825,2139957931,SRX8889943,GSM4711291,GSM4711291
SRR12391509,No,resting,Resting,other,ribosome-protected mRNA,OTHER,PRJNA655417,5745488736,SAMN15734822,1994334802,SRX8889944,GSM4711292,GSM4711292
SRR12391510,No,resting,Resting,size fractionation,small RNA,miRNA-Seq,PRJNA655417,752164476,SAMN15734821,289408741,SRX8889945,GSM4711293,GSM4711293
SRR12391511,No,resting,Resting,cDNA,Poly(A) mRNA,RNA-Seq,PRJNA655417,4376838875,SAMN15734820,1993685842,SRX8889946,GSM4711294,GSM4711294
SRR12391512,No,resting,Resting,other,ribosome-protected mRNA,OTHER,PRJNA655417,2493149220,SAMN15734819,874876213,SRX8889947,GSM4711295,GSM4711295
SRR12391513,No,resting,Resting,size fractionation,small RNA,miRNA-Seq,PRJNA655417,658483684,SAMN15734817,246370819,SRX8889948,GSM4711296,GSM4711296
SRR12391514,Yes,depol 0 hours 1,Depol 0 hours,cDNA,Poly(A) mRNA,RNA-Seq,PRJNA655417,11748599548,SAMN15734814,5319949735,SRX8889949,GSM4711297,GSM4711297
SRR12391515,Yes,depol 0 hours 1,Depol 0 hours,other,ribosome-protected mRNA,OTHER,PRJNA655417,4618036944,SAMN15734812,1700195292,SRX8889950,GSM4711298,GSM4711298
SRR12391516,Yes,depol 0 hours 1,Depol 0 hours,size fractionation,small RNA,miRNA-Seq,PRJNA655417,1430415152,SAMN15734810,508442504,SRX8889951,GSM4711299,GSM4711299
SRR12391517,Yes,depol 0 hours 2,Depol 0 hours,cDNA,Poly(A) mRNA,RNA-Seq,PRJNA655417,15675632000,SAMN15734808,7217749133,SRX8889952,GSM4711300,GSM4711300
SRR12391518,Yes,depol 0 hours 2,Depol 0 hours,other,ribosome-protected mRNA,OTHER,PRJNA655417,4947214452,SAMN15734806,1822169067,SRX8889953,GSM4711301,GSM4711301
SRR12391519,Yes,depol 0 hours 2,Depol 0 hours,size fractionation,small RNA,miRNA-Seq,PRJNA655417,1116719604,SAMN15734804,393242825,SRX8889954,GSM4711302,GSM4711302
SRR12391520,Yes,depol 0 hours 3,Depol 0 hours,cDNA,Poly(A) mRNA,RNA-Seq,PRJNA655417,5631736836,SAMN15734802,2537974903,SRX8889955,GSM4711303,GSM4711303
SRR12391521,Yes,depol 0 hours 3,Depol 0 hours,other,ribosome-protected mRNA,OTHER,PRJNA655417,6457888416,SAMN15734801,2404609708,SRX8889956,GSM4711304,GSM4711304
